count,replicate,ordering_fraction,dimension_estimate,longest_chain
256,21,0.4943014705882353,2.01527057374229,28
256,22,0.46807598039215687,2.0875581614933654,26
256,23,0.4980392156862745,2.005237532068051,27
256,24,0.5157169117647059,1.9586384115830286,29
256,25,0.4994178921568627,2.0015530593833084,27
256,26,0.49580269607843136,2.0112331406903365,26
256,27,0.516390931372549,1.9568886791702027,29
256,28,0.4912377450980392,2.023542904135886,28
256,29,0.5329656862745098,1.914456573778325,30
256,30,0.5077818627450981,1.9793847120525903,32
256,31,0.4814950980392157,2.0501463438098826,30
256,32,0.499969362745098,2.0000817014827317,28
256,33,0.4744791666666667,2.0695924988216197,28
256,34,0.5040441176470588,1.9892526997608029,27
256,35,0.484375,2.042234652217089,28
256,36,0.47092524509803924,2.0795378003536245,26
256,37,0.47791053921568627,2.0600509726251826,28
256,38,0.473406862745098,2.0725864383078236,28
256,39,0.49136029411764703,2.0232111636522023,26
256,40,0.47408088235294116,2.070703850837234,28
256,41,0.5017769607843138,1.995268606455992,26
256,42,0.4725183823529412,2.07507157118593,30
256,43,0.48051470588235295,2.0528489762062336,27
256,44,0.4979779411764706,2.0054014884952016,25
256,45,0.49491421568627453,2.0136213766816833,29
256,46,0.45965073529411765,2.1115242498073754,25
256,47,0.5467524509803922,1.8799984734172936,29
256,48,0.5169730392156863,1.9553791023684137,28
256,49,0.5106311274509804,1.9719038029785072,28
256,50,0.4932904411764706,2.0179955776060514,26
256,51,0.5122855392156863,1.9675763040047443,32
256,52,0.4947916666666667,2.013951076287263,25
256,53,0.49267769607843137,2.019649422834837,26
256,54,0.478125,2.059456591027846,28
256,55,0.503921568627451,1.9895772937888212,26
256,56,0.4950980392156863,2.0131269581955658,27
256,57,0.48238357843137253,2.0477011709822297,25
256,58,0.5115808823529412,1.969418045569104,26
256,59,0.4716605392156863,2.07747484369639,29
256,60,0.4649816176470588,2.096316462411235,27
256,61,0.49629289215686273,2.009917059466065,28
256,62,0.521844362745098,1.942802384362346,35
256,63,0.5542279411764706,1.861616773685878,29
256,64,0.5401960784313725,1.8962934169159937,30
256,65,0.46706495098039214,2.0904142542461908,28
256,66,0.5147671568627451,1.961107234670448,28
256,67,0.5194546568627451,1.9489596330368535,26
256,68,0.5329963235294117,1.9143791763507134,26
256,69,0.4955575980392157,2.011891598584519,29
256,70,0.5181678921568628,1.952284999823927,28
256,71,0.49503676470588237,2.0132917469073037,27
256,72,0.47760416666666666,2.0609004881558834,28
256,73,0.5103860294117647,1.9725459259829774,28
256,74,0.4977328431372549,2.006057486595993,27
256,75,0.5126531862745098,1.966616248581741,26
256,76,0.5160232843137255,1.9578428387083584,31
256,77,0.5240502450980392,1.9371398709224545,31
256,78,0.4745404411764706,2.069421593077187,28
256,79,0.48762254901960783,2.0333613130406025,28
256,80,0.43480392156862746,2.184499899957026,27
